regime,seed,parameters,val_loss,perplexity,seconds,circuit_grad_norm_mean,circuit_grad_norm_std
adamw_baseline,1337,6588,1.9970419685045877,7.367231333354421,6.661890215000312,0.027424457643806393,0.040517272213218304
adamw_baseline,2026,6588,2.062678364912669,7.867012347781978,6.143983434999882,0.043213688271877986,0.07852853931171615
adamw_baseline,4242,6588,2.030666486422221,7.6191627354358635,6.3724869389998275,0.027564065954853865,0.03918471952261956
dissipation_progressive,1337,6588,2.335575254758199,10.3354037097736,5.625070446999871,0.01326947274195404,0.006459255718537702
dissipation_progressive,2026,6588,2.391848071416219,10.933681507533977,5.505761813999925,0.013799039447016518,0.006621422608875018
dissipation_progressive,4242,6588,2.3744200468063354,10.744779909323052,5.755488237999998,0.010051230595496974,0.004303404364531521
progressive,1337,6588,1.9960214893023174,7.359717061731474,5.449062240999865,0.017239981339980896,0.008884746359370347
progressive,2026,6588,2.0647215127944945,7.883102248823048,5.232251526999789,0.017335017743831258,0.009042051528153728
progressive,4242,6588,2.0355141083399455,7.656187223562413,5.3618903459996545,0.01600906103795298,0.007832900104964319
progressive_qgroup_cosine,1337,6588,2.3349494536717734,10.328937826292847,5.258973457000138,0.0098306966015836,0.003822550415964115
progressive_qgroup_cosine,2026,6588,2.392899171511332,10.945179943151233,5.335737064999648,0.014102194105332705,0.006755925487234384
progressive_qgroup_cosine,4242,6588,2.37423468430837,10.742788414658884,5.299981679999746,0.009924526915625391,0.0042127429424464085
qgroup_cosine,1337,6588,2.3348578453063964,10.327991652521877,6.2302592910000385,0.02274887717473619,0.0419065557378919
qgroup_cosine,2026,6588,2.3919181982676188,10.93444827907763,5.75495834100002,0.03759239926848251,0.07063740349095136
qgroup_cosine,4242,6588,2.374017826716105,10.740459012012526,5.929070626999874,0.021391963056225333,0.036873078987750205
